"component","polarity","window_start_ms","window_end_ms","channel","channel_label","amplitude","latency_ms","peak_sample","boundary_peak"
"P60","positive",50,75,26,"CP6",-0.109313314172849,66,317,FALSE
"P60","positive",50,75,27,"TP9",2.86368663904098,58,309,FALSE
"P60","positive",50,75,28,"TP10",0.495618838027413,67,318,FALSE
"P60","positive",50,75,29,"F1",1.35056983602591,63,314,FALSE
"P60","positive",50,75,30,"F2",0.625207802649924,56,307,FALSE
"P60","positive",50,75,31,"C2",2.85162167996524,56,307,FALSE
"P60","positive",50,75,32,"P1",1.81202704824451,69,320,FALSE
"P60","positive",50,75,33,"P2",-0.769573058782289,74,325,FALSE
"P60","positive",50,75,34,"AF3",1.47525802788034,56,307,FALSE
"P60","positive",50,75,35,"AF4",3.63571333814605,63,314,FALSE
"P60","positive",50,75,36,"FC3",5.89432631682577,64,315,FALSE
"P60","positive",50,75,37,"FC4",1.26882478080671,51,302,FALSE
"P60","positive",50,75,38,"CP3",0.893561424348102,56,307,FALSE
"P60","positive",50,75,39,"CP4",4.47348520951383,73,324,FALSE
"P60","positive",50,75,40,"PO3",3.30833012383836,71,322,FALSE
"P60","positive",50,75,41,"PO4",0.383325275847085,66,317,FALSE
"P60","positive",50,75,42,"F5",2.52541754246566,73,324,FALSE
"P60","positive",50,75,43,"F6",3.33350804717021,69,320,FALSE
"P60","positive",50,75,44,"C5",2.09231667532504,51,302,FALSE
"P60","positive",50,75,45,"C6",0.834104708108748,68,319,FALSE
"P60","positive",50,75,46,"P5",2.34900052031303,62,313,FALSE
"P60","positive",50,75,47,"P6",-0.42993897524176,70,321,FALSE
"P60","positive",50,75,48,"AF7",2.77688676705125,66,317,FALSE
"P60","positive",50,75,49,"AF8",1.56889193334445,67,318,FALSE
"P60","positive",50,75,50,"FT7",2.04420115867935,55,306,FALSE
"P60","positive",50,75,51,"FT8",-0.0483221304824463,57,308,FALSE
"P60","positive",50,75,52,"TP7",3.44978932841193,64,315,FALSE
"P60","positive",50,75,53,"TP8",1.78088923548794,65,316,FALSE
"P60","positive",50,75,54,"PO7",1.85922347842936,57,308,FALSE
"P60","positive",50,75,55,"PO8",1.30442140356576,67,318,FALSE
"P60","positive",50,75,56,"Fpz",2.75857691867074,57,308,FALSE
"P60","positive",50,75,57,"CPz",4.1733711836116,70,321,FALSE
"P60","positive",50,75,58,"POz",1.55566670495571,50,301,TRUE
"P60","positive",50,75,59,"Oz",1.60861860947197,71,322,FALSE
"N100","negative",80,140,1,"FP1",-2.90329017649655,92,343,FALSE
"N100","negative",80,140,2,"FP2",-1.52530460246205,139,390,FALSE
"N100","negative",80,140,3,"F3",-2.43140469056976,104,355,FALSE
"N100","negative",80,140,4,"F4",-1.41239960895006,126,377,FALSE
"N100","negative",80,140,5,"C4",-3.83700686566,91,342,FALSE
"N100","negative",80,140,6,"P3",-1.61164376165448,84,335,FALSE
"N100","negative",80,140,7,"P4",-3.42290257445766,130,381,FALSE
"N100","negative",80,140,8,"O1",-0.861401876696801,116,367,FALSE
"N100","negative",80,140,9,"O2",-6.38829877905911,123,374,FALSE
"N100","negative",80,140,10,"F7",-1.1261737378375,130,381,FALSE
"N100","negative",80,140,11,"F8",-4.81260407367938,86,337,FALSE
"N100","negative",80,140,12,"T7",-2.25774530128493,131,382,FALSE
"N100","negative",80,140,13,"T8",-3.59735464317481,137,388,FALSE
"N100","negative",80,140,14,"P7",-0.946368430734405,109,360,FALSE
"N100","negative",80,140,15,"P8",-5.59587253511684,83,334,FALSE
"N100","negative",80,140,16,"Fz",-4.30970316732832,90,341,FALSE
"N100","negative",80,140,17,"Cz",-1.87592233013183,81,332,FALSE
"N100","negative",80,140,18,"Pz",-1.98218055307987,120,371,FALSE
"N100","negative",80,140,19,"Iz",-2.00718372514879,120,371,FALSE
"N100","negative",80,140,20,"FC1",-2.77879689706972,128,379,FALSE
"N100","negative",80,140,21,"FC2",-1.94926057406246,99,350,FALSE
"N100","negative",80,140,22,"CP2",-1.45789253269798,80,331,TRUE
"N100","negative",80,140,23,"FC5",-0.766921056719329,85,336,FALSE
"N100","negative",80,140,24,"FC6",-3.19272065222022,108,359,FALSE
"N100","negative",80,140,25,"CP5",-1.26216388431107,109,360,FALSE
"N100","negative",80,140,26,"CP6",-3.42872177617076,129,380,FALSE
"N100","negative",80,140,27,"TP9",-2.10366856368108,137,388,FALSE
"N100","negative",80,140,28,"TP10",-3.48033859032612,89,340,FALSE
"N100","negative",80,140,29,"F1",-1.68021935710637,112,363,FALSE
"N100","negative",80,140,30,"F2",-6.0270583398674,139,390,FALSE
"N100","negative",80,140,31,"C2",-0.924947366710918,83,334,FALSE
"N100","negative",80,140,32,"P1",-3.93037103839275,115,366,FALSE
"N100","negative",80,140,33,"P2",-4.15363840337671,114,365,FALSE
"N100","negative",80,140,34,"AF3",-2.5385538494585,121,372,FALSE
"N100","negative",80,140,35,"AF4",-0.233548493072945,115,366,FALSE
"N100","negative",80,140,36,"FC3",-3.3543449649528,127,378,FALSE
"N100","negative",80,140,37,"FC4",-3.43931378756979,132,383,FALSE
"N100","negative",80,140,38,"CP3",-1.56832887286112,85,336,FALSE
"N100","negative",80,140,39,"CP4",-0.00536435355084748,122,373,FALSE
"N100","negative",80,140,40,"PO3",0.333699635258893,99,350,FALSE
"N100","negative",80,140,41,"PO4",-2.47391823713356,111,362,FALSE
"N100","negative",80,140,42,"F5",-1.91889961112725,118,369,FALSE
"N100","negative",80,140,43,"F6",0.290681163017226,135,386,FALSE
"N100","negative",80,140,44,"C5",-1.94907558591187,137,388,FALSE
"N100","negative",80,140,45,"C6",-3.67004016349867,125,376,FALSE
"N100","negative",80,140,46,"P5",-1.99714651196774,132,383,FALSE
"N100","negative",80,140,47,"P6",-4.5370634996563,93,344,FALSE
"N100","negative",80,140,48,"AF7",-0.809736382140094,84,335,FALSE
"N100","negative",80,140,49,"AF8",-3.37895009547954,139,390,FALSE
"N100","negative",80,140,50,"FT7",-1.91539653654216,97,348,FALSE
"N100","negative",80,140,51,"FT8",-3.95030762834517,122,373,FALSE
"N100","negative",80,140,52,"TP7",-0.655021872261447,136,387,FALSE
"N100","negative",80,140,53,"TP8",-2.3669070958581,128,379,FALSE
"N100","negative",80,140,54,"PO7",-2.80863045077241,94,345,FALSE
"N100","negative",80,140,55,"PO8",-1.45521684998397,93,344,FALSE
"N100","negative",80,140,56,"Fpz",0.0503815394930129,93,344,FALSE
"N100","negative",80,140,57,"CPz",0.14421778405721,84,335,FALSE
"N100","negative",80,140,58,"POz",-2.22597188285687,112,363,FALSE
"N100","negative",80,140,59,"Oz",-1.76342307717716,119,370,FALSE
"P180","positive",140,220,1,"FP1",4.96232240291373,161,412,FALSE
"P180","positive",140,220,2,"FP2",5.27893991845052,183,434,FALSE
"P180","positive",140,220,3,"F3",1.22301938559749,172,423,FALSE
"P180","positive",140,220,4,"F4",3.15903155042704,197,448,FALSE
"P180","positive",140,220,5,"C4",3.26372123625661,207,458,FALSE
"P180","positive",140,220,6,"P3",2.668388058757,188,439,FALSE
"P180","positive",140,220,7,"P4",-0.0233572747488165,153,404,FALSE
"P180","positive",140,220,8,"O1",3.88766363025819,202,453,FALSE
"P180","positive",140,220,9,"O2",1.17649738468643,191,442,FALSE
"P180","positive",140,220,10,"F7",2.97562208938658,203,454,FALSE
"P180","positive",140,220,11,"F8",-0.0766427312192135,185,436,FALSE
"P180","positive",140,220,12,"T7",2.1644984372372,158,409,FALSE
"P180","positive",140,220,13,"T8",0.113592309972844,165,416,FALSE
"P180","positive",140,220,14,"P7",4.54091452833938,213,464,FALSE
"P180","positive",140,220,15,"P8",2.54277859930459,153,404,FALSE
"P180","positive",140,220,16,"Fz",1.58314749031109,144,395,FALSE
"P180","positive",140,220,17,"Cz",1.73966297178398,146,397,FALSE
"P180","positive",140,220,18,"Pz",5.3712402888189,198,449,FALSE
"P180","positive",140,220,19,"Iz",3.81834093187218,169,420,FALSE
"P180","positive",140,220,20,"FC1",1.40757919188727,190,441,FALSE
"P180","positive",140,220,21,"FC2",2.56874290680037,201,452,FALSE
"P180","positive",140,220,22,"CP2",4.0377384200179,202,453,FALSE
"P180","positive",140,220,23,"FC5",3.02753454058199,150,401,FALSE
"P180","positive",140,220,24,"FC6",0.557844392610022,184,435,FALSE
"P180","positive",140,220,25,"CP5",2.8037433127372,188,439,FALSE
"P180","positive",140,220,26,"CP6",1.68611792061406,192,443,FALSE
"P180","positive",140,220,27,"TP9",2.9468218955599,166,417,FALSE
"P180","positive",140,220,28,"TP10",0.499506973424599,212,463,FALSE
"P180","positive",140,220,29,"F1",3.49905494824099,180,431,FALSE
"P180","positive",140,220,30,"F2",-1.50001632611296,207,458,FALSE
"P180","positive",140,220,31,"C2",4.07677408342916,170,421,FALSE
"P180","positive",140,220,32,"P1",0.561402658248377,207,458,FALSE
"P180","positive",140,220,33,"P2",1.55187023467867,200,451,FALSE
"P180","positive",140,220,34,"AF3",1.82301335095758,166,417,FALSE
"P180","positive",140,220,35,"AF4",4.64132184272204,201,452,FALSE
"P180","positive",140,220,36,"FC3",1.76279153952347,170,421,FALSE
