"gait_cycle_pct","control_mean","control_sd","patient_mean","patient_sd"
34,0.963442786456247,0.0705675065853961,0.922524721492656,0.0575068840123568
35,0.937637784838735,0.0684092700062379,0.909178073117614,0.0558453513590491
36,0.912422103310808,0.0660900510657,0.896998650929811,0.0544856291012591
37,0.888164882512346,0.0635955534467422,0.886041754824152,0.0536407458147707
38,0.865273316521113,0.0609241018193043,0.876042660071763,0.0535040500216561
39,0.844105065694134,0.0582661777778777,0.867011049622012,0.0542308551121102
40,0.824786438581598,0.0561966538345301,0.859235879650227,0.055720560326401
41,0.807428916673586,0.0551601252119184,0.852752936510874,0.057641822213307
42,0.792162319254866,0.0550535258067427,0.847327645449707,0.0598252149464039
43,0.779002375127564,0.0557361010930223,0.842874190635405,0.0622962594577309
44,0.767900626266566,0.0571970384579117,0.839456170135753,0.0649944874060488
45,0.758826994138603,0.0592952676119322,0.837139867282216,0.0677305658777945
46,0.751841882397524,0.0617413989643373,0.835879634290281,0.0703067888142511
47,0.747057462088335,0.0643043474562515,0.835510971019311,0.0725815940839756
48,0.744441764967701,0.066801429372755,0.83580166691319,0.0744155119857355
49,0.743739869473019,0.0691067259141243,0.836682757607669,0.0757077387600797
50,0.744752948362108,0.071135348142692,0.838283525386471,0.0764783456929469
51,0.747374666324225,0.072830175046035,0.840686718808439,0.0767569609612786
52,0.751395920566735,0.0742026426729612,0.843795380430521,0.0764957782784502
53,0.756804505961078,0.0752642801392585,0.847409598093596,0.0756989356833083
54,0.763777713538755,0.0759722300738797,0.851486922350917,0.0744409774243701
55,0.772273058267323,0.0763248429658269,0.856060118743009,0.072790941354525
56,0.782120235962741,0.0762968452116581,0.861057691250424,0.0707493021258847
57,0.793268540936499,0.0758105051924566,0.866526578286758,0.0683022800578711
58,0.805654664127552,0.0749465328605009,0.872679018945747,0.0654807768284812
59,0.819206747000477,0.0739116601083893,0.879568038472626,0.062381760204538
60,0.833900404756357,0.0727596681393685,0.887211656873947,0.0592121093543443
61,0.849670392364217,0.0714069575983814,0.895773261242205,0.0561639532049131
62,0.866375602448805,0.0697999056424026,0.9053063813336,0.0533283670826657
63,0.883895038897861,0.0679311804627359,0.915622869745423,0.0507602200550729
64,0.902245183670654,0.0659388205284143,0.926489737484821,0.0485762590856922
65,0.921389243295464,0.0640103625320936,0.937833181809548,0.0470295973078805
66,0.940987546724225,0.0621815653456585,0.949689846398723,0.0463461223317191
67,0.960638280509338,0.0604353194523872,0.961975783086877,0.0465876879974112
68,0.980084532136954,0.0587253750363393,0.974369261248736,0.0477616007359849
69,0.999143440023502,0.0570521892819487,0.986450091527729,0.0498366468450541
70,1.0175771445139,0.0554895373746812,0.997969129360855,0.0526168653162033
71,1.03496743874265,0.0540444814666072,1.00874934914365,0.0559616388123304
72,1.05095985320841,0.0526676957805755,1.01844003306335,0.0599596052811372
73,1.06531771527268,0.0514237879055586,1.02654167410163,0.0645917789090404
74,1.07762981304619,0.0504438548443555,1.03269866340898,0.0695746000999722
75,1.08740175916054,0.0497484206251615,1.03665872170859,0.0747000186770392
76,1.09424259051948,0.0493321983209887,1.03805592681037,0.079960337449607
77,1.09780836800867,0.0493175124624778,1.03660453288787,0.0851927980006673
78,1.09767020001646,0.0497936339006764,1.03200922118094,0.0901941081168086
79,1.09330958666991,0.0508026540622004,1.02381078881638,0.0949968688823882
80,1.084250540817,0.0523594401321922,1.01152434353393,0.0995519864204309
81,1.07009532315696,0.0543865236256719,0.994579854597381,0.103544714714755
82,1.05037076861758,0.0567424257385916,0.972346113796069,0.106754129867931
83,1.02438704914349,0.059269132368257,0.944232370362539,0.109126513267271
84,0.991335337472151,0.0619068777147361,0.909697964191815,0.110567858758267
85,0.950539422833605,0.0648891561067701,0.868113683303527,0.110913549179588
86,0.901374378666816,0.0685419295248828,0.818967390581552,0.109973713347853
87,0.84325442792534,0.0729020531027615,0.762233898585554,0.107633795159139
88,0.776068143709751,0.0775338232621649,0.698255633363151,0.103918188736826
89,0.700575360837974,0.0816022674910335,0.627862688423978,0.0988465813269642
90,0.618568734332608,0.0838995708227663,0.552716722411192,0.0923732340825981
91,0.532741735821468,0.0831077451419981,0.47521069402726,0.084413660211454
92,0.446341759425628,0.0786184705099372,0.397955377731374,0.0749642129940462
93,0.362915551470527,0.0707725093929466,0.323550021964474,0.0642186206932798
94,0.286282133052362,0.0603762680020875,0.254989099884231,0.0525408681513655
95,0.220371393002756,0.0484922788814806,0.195745578164502,0.0407603865146084
96,0.167219794204775,0.0365407493061741,0.147805863459507,0.0301674406997278
97,0.122791587654311,0.0259191061113556,0.107878763914554,0.0215886430567143
98,0.0776469040189938,0.0169203352661099,0.0679400935539867,0.0145098033261336
99,0.0314980004069095,0.00723246954433898,0.0275809305729377,0.00634061344674796
100,0.00368349557665316,0.00065200703861149,0.00326479801321023,0.000592793683548319
