"time","ankle_moment","knee_moment","hip_moment","ankle_fx","ankle_fy","knee_fx","knee_fy","hip_fx","hip_fy"
12.9466666667,-122.3970022179,-45.1681027874,9.3712966522,-32.03740875,-731.1887240131,15.1742238787,-679.6568448382,236.6137607886,-541.2282873316
12.9533333333,-120.0711490586,-61.3670787695,-55.2993680536,-53.2250703125,-748.5820055006,-64.5815773362,-713.7341636582,-118.2932999561,-623.8790887929
12.96,-124.032028683,-51.9475499253,-23.3124832091,-46.6573334375,-750.8964584319,-27.8482401425,-710.893878695,-8.3733021967,-591.3150821426
12.9666666667,-119.9889864563,-59.8524832468,-44.1275978262,-67.17893875,-758.4995877631,-77.0530131025,-724.0874893972,-42.9842994864,-609.8505118516
12.9733333333,-123.4539187715,-35.6890726378,13.4892113659,-42.29933375,-752.6513458538,8.9833528375,-703.1098832398,36.6582646555,-594.5054166154
12.98,-121.4091949331,-56.1773960472,-35.0899254499,-78.8191546875,-763.782441985,-81.4163269762,-737.9510012961,-37.2444122963,-653.8432464549
12.9866666667,-121.5246189852,-45.9590267517,-14.7598880359,-65.789953125,-755.0953816631,-55.4440189763,-715.6178567239,-1.6328740403,-632.9545661024
12.9933333333,-123.310505708,-45.8053304621,-11.2648330214,-80.384760625,-756.1425016194,-54.5234233899,-722.9382788218,-11.9375313699,-598.82558794
13,-125.8904155494,-49.6359867326,-18.5910971041,-84.897164375,-749.5688790881,-67.0900929538,-710.3621876794,-15.4993797418,-616.2707752732
13.0066666667,-124.7228941599,-52.0109754902,-25.8265334965,-99.22721125,-744.66595386,-85.5075184262,-708.2809140702,-38.5044349381,-612.7521390384
13.0133333333,-128.2002363338,-50.9728761483,-23.8915829433,-107.2827134375,-751.5302283506,-90.4854375276,-726.1478784737,-30.8415167197,-642.3696375941
13.02,-120.4739168293,-33.8854617222,11.4907326938,-92.124188125,-729.3424839475,-52.0378716287,-682.2595663447,32.1325876573,-596.1359056867
13.0266666667,-127.4771046914,-46.0139159993,-13.1855113273,-108.764760625,-721.3221948506,-83.98551373,-699.5508861598,-34.859053636,-618.138896401
13.0333333333,-115.0910721985,-41.3462732142,-32.4987628046,-121.072450625,-703.1320743538,-111.3196450175,-639.6917754398,-76.2259346674,-469.048257071
13.04,-117.1082429918,-32.2756059003,13.1175101769,-112.47067625,-683.9235044631,-68.978729165,-643.8757132506,46.8198625988,-572.9627200613
13.0466666667,-109.6798308999,-28.4573772242,-18.8772950754,-117.6217559375,-661.0200826538,-115.3775067913,-666.0611224624,-104.2256370132,-685.0507585162
